ON_STREET,Dir,X_STREET,TYPE,Date,Day,NB,SB,EB,WB,TOT_24,FID
ILLINOIS AVE,S,SUNSET AVE,24,2016-04-20T00:00:00.000Z,W,1349,1416,,,2765,1399
OAK GLEN WAY,N,WINDING WAY,24,2016-04-20T00:00:00.000Z,W,142,99,,,241,1400
FAIR OAKS BLVD,S,MADISON AVE,24,2016-04-20T00:00:00.000Z,W,7971,7827,,,15798,1401
PERSHING AVE,E,ILLINOIS AVE,24,2016-04-20T00:00:00.000Z,W,,,1311,1511,2822,1402
LAMBERT RD,E,BRUCEVILLE RD,24,2016-06-30T00:00:00.000Z,Th,,,194,227,421,1403
LAMBERT RD,W,BRUCEVILLE RD,24,2016-06-30T00:00:00.000Z,Th,,,860,617,1477,1404
BOESSOW RD,W,MARENGO RD,24,2016-06-30T00:00:00.000Z,Th,,,2001,2569,4570,1405
LINCOLN WAY,N,KOST RD,24,2016-06-30T00:00:00.000Z,Th,2940,2540,,,5480,1406
NEW HOPE RD,E,SARGENT AVE,24,2016-06-30T00:00:00.000Z,Th,,,704,644,1348,1407
ARNO RD,E,STATE ROUTE 99,24,2016-06-30T00:00:00.000Z,Th,,,1107,960,2067,1408
BRUCEVILLE RD,S,LAMBERT RD,24,2016-06-30T00:00:00.000Z,Th,1066,903,,,1969,1409
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-04T00:00:00.000Z,M,23824,31962,,,55786,1410
WALNUT AVE,N,GREENBACK LN,24,2016-04-21T00:00:00.000Z,Th,1298,1010,,,2308,1411
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-05T00:00:00.000Z,T,45513,50228,,,95741,1412
HOWE AVE,N,ALTA ARDEN EXPWY,24,2016-05-17T00:00:00.000Z,T,14056,11862,,,25918,1413
22ND ST,S,ELKHORN BLVD,24,2016-04-21T00:00:00.000Z,Th,359,384,,,743,1414
PERSHING AVE,E,ILLINOIS AVE,24,2016-04-21T00:00:00.000Z,Th,,,1229,1607,2836,1415
SANTA JUANITA AVE,S,OAK AVE,24,2016-04-21T00:00:00.000Z,Th,428,404,,,832,1416
HAZEL AVE,N,MADISON AVE,24,2016-05-18T00:00:00.000Z,W,18926,19299,,,38225,1417
SAN JUAN AVE,S,MADISON AVE,24,2016-04-21T00:00:00.000Z,Th,13832,14540,,,28372,1418
AIRPORT BLVD,N,I-5,24,2016-08-03T00:00:00.000Z,W,21549,,,,21549,1419
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-06T00:00:00.000Z,W,47322,52468,,,99790,1420
ELLERSLEE DR,E,MANZANITA AVE,24,2016-08-16T00:00:00.000Z,T,,,,,833,1421
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-07T00:00:00.000Z,Th,48224,53095,,,101319,1422
OAK AVE,W,MAIN AVE,24,2016-04-21T00:00:00.000Z,Th,,,4544,4364,8908,1423
BERKSHIRE WAY,E,MORSE AVE,24,2016-05-18T00:00:00.000Z,W,,,,,732,1424
GLORI DAWN DR,S,CANARSIE AVE,24,2016-08-16T00:00:00.000Z,T,,,,,101,1425
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-08T00:00:00.000Z,F,47538,52628,,,100166,1426
ALMOND AVE,N,GREENBACK LN,24,2016-04-21T00:00:00.000Z,Th,705,917,,,1622,1427
HAZEL AVE,S,GREENBACK LN,24,2016-05-18T00:00:00.000Z,W,17873,18510,,,36383,1428
HURLEY WAY,E,HOWE AVE,24,2016-08-16T00:00:00.000Z,T,,,6598,6412,13010,1429
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-09T00:00:00.000Z,SA,34356,43348,,,77704,1430
MAIN AVE,N,CENTRAL AVE,24,2016-04-21T00:00:00.000Z,Th,2819,2828,,,5647,1431
MORSE AVE,S,ALTA ARDEN EXPWY,24,2016-05-18T00:00:00.000Z,W,3987,3598,,,7585,1432
AUBURN BLVD,N,WINDING WAY,24,2016-08-16T00:00:00.000Z,T,,,,,16224,1433
FLORIN RD,E,EAST PKWY,24,2016-07-18T00:00:00.000Z,T,,,28966,29489,58455,1434
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-10T00:00:00.000Z,SU,28236,36081,,,64317,1435
CHERRY AVE,E,HAZEL AVE,24,2016-04-21T00:00:00.000Z,Th,,,958,552,1510,1436
ALTA ARDEN EXPWY,E,HOWE AVE,24,2016-05-18T00:00:00.000Z,W,,,9324,8196,17520,1437
EASTERN AVE,N,ROBERTSON AVE,24,2016-08-16T00:00:00.000Z,T,6832,5826,,,12658,1438
POWER INN RD,S,ELSIE AVE,24,2016-07-19T00:00:00.000Z,T,9309,9494,,,18803,1439
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-11T00:00:00.000Z,M,45603,50893,,,96496,1440
OLD AUBURN RD,E,WACHTEL WAY,24,2016-04-21T00:00:00.000Z,Th,,,8292,7061,15353,1441
HAZEL AVE,S,MADISON AVE,24,2016-05-18T00:00:00.000Z,W,21811,23803,,,45614,1442
BAR DU LN,S,GERBER RD,24,2016-08-23T00:00:00.000Z,T,,,,,484,1443
WHITE ROCK RD,W,SCOTT RD W/EXT,24,2016-07-19T00:00:00.000Z,T,,,5546,4644,10190,1444
MARCONI AVE,E,HOWE AVE,24,2016-07-19T00:00:00.000Z,T,,,9391,10096,19487,1445
37TH AVE,W,STOCKTON BLVD,24,2016-07-19T00:00:00.000Z,T,,,1560,1278,2838,1446
65TH ST,N,FLORIN RD,24,2016-07-19T00:00:00.000Z,T,6820,8219,,,15039,1447
FLORIN RD,E,FRANKLIN BLVD,24,2016-07-19T00:00:00.000Z,T,,,20359,20935,41294,1448
FLORIN RD,W,STOCKTON BLVD,24,2016-07-19T00:00:00.000Z,T,,,16579,17571,34150,1449
GENEVA POINTE DR,E,EAST STOCKTON BLVD,24,2016-07-19T00:00:00.000Z,T,,,2118,2870,4988,1450
ELSIE AVE,E,STOCKTON BLVD,24,2016-07-19T00:00:00.000Z,T,,,12955,13019,25974,1451
STEVENSON AVE,E,EAST STOCKTON BLVD,24,2016-07-19T00:00:00.000Z,T,,,1201,917,2118,1452
FLORIN RD,E,STATE ROUTE 99,24,2016-07-19T00:00:00.000Z,T,,,33468,34836,68304,1453
ELK GROVE FLORIN RD,N,GERBER RD,24,2016-07-19T00:00:00.000Z,T,12807,11861,,,24668,1454
CALVINE RD,W,ELK GROVE FLORIN RD,24,2016-07-19T00:00:00.000Z,T,,,20015,20041,40056,1455
FAIR OAKS BLVD,E,EASTERN AVE,24,2016-07-19T00:00:00.000Z,T,,,15084,15869,30953,1456
WHITE ROCK RD,W,GRANT LINE RD,24,2016-07-20T00:00:00.000Z,W,,,2077,1629,3706,1457
MANZANITA AVE,S,MADISON AVE,24,2016-07-20T00:00:00.000Z,W,13237,12847,,,26084,1458
GRANT LINE RD,S,DOUGLAS RD,24,2016-07-20T00:00:00.000Z,W,4974,4470,,,9444,1459
SCOTT RD,S,WHITE ROCK RD,24,2016-07-20T00:00:00.000Z,W,1409,1451,,,2860,1460
WHITE ROCK RD,W,COUNTY LINE (EL DORADO),24,2016-07-20T00:00:00.000Z,W,,,4316,4027,8343,1461
PRAIRIE CITY RD,N,WHITE ROCK RD,24,2016-07-20T00:00:00.000Z,W,3862,3383,,,7245,1462
FAIR OAKS BLVD,E,SAN JUAN AVE,24,2016-07-21T00:00:00.000Z,Th,,,18986,19149,38135,1463
WATT AVE,N,ANTELOPE RD,24,2016-07-21T00:00:00.000Z,Th,12218,12662,,,24880,1464
MADISON AVE,E,MANZANITA AVE,24,2016-07-22T00:00:00.000Z,F,,,23715,25449,49164,1465
SUNRISE BLVD,N,MADISON AVE,24,2016-07-26T00:00:00.000Z,T,22364,22242,,,44606,1466
MADISON AVE,E,SUNRISE BLVD,24,2016-07-26T00:00:00.000Z,T,,,19065,18870,37935,1467
LA HABRA WAY,E,WATT AVE,24,2016-07-26T00:00:00.000Z,T,,,,,552,1468
MADISON AVE,E,SAN JUAN AVE,24,2016-07-26T00:00:00.000Z,T,,,23049,24968,48017,1469
MADISON AVE,E,SAN JUAN AVE,24,2016-07-27T00:00:00.000Z,W,,,23321,25140,48461,1470
GREENBACK LN,E,HAZEL AVE,24,2016-07-27T00:00:00.000Z,W,,,14564,14587,29151,1471
FOLSOM BLVD,E,AEROJET RD,24,2016-07-27T00:00:00.000Z,W,,,7060,6816,13876,1472
I ST,W,16TH ST,24,2016-07-27T00:00:00.000Z,W,,,205,146,351,1473
SUNRISE BLVD,N,MADISON AVE,24,2016-07-27T00:00:00.000Z,W,22723,22597,,,45320,1474
NORTHGATE BLVD,N,NORTH MARKET BLVD,24,2016-07-27T00:00:00.000Z,W,11486,12195,,,23681,1475
47TH ST,S,47TH AVE,24,2016-07-27T00:00:00.000Z,W,1991,2155,,,4146,1476
STEINER DR,S,47TH AVE,24,2016-07-27T00:00:00.000Z,W,1957,1796,,,3753,1477
MADISON AVE,E,SUNRISE BLVD,24,2016-07-27T00:00:00.000Z,W,,,19372,19134,38506,1478
MADISON AVE,E,MANZANITA AVE,24,2016-07-28T00:00:00.000Z,Th,,,24066,25555,49621,1479
MADISON AVE,E,SAN JUAN AVE,24,2016-07-28T00:00:00.000Z,Th,,,23567,25455,49022,1480
FRANKLIN BLVD,N,FLORIN RD,24,2016-07-28T00:00:00.000Z,Th,11746,10252,,,21998,1481
SUNRISE BLVD,N,MADISON AVE,24,2016-07-28T00:00:00.000Z,Th,22961,22856,,,45817,1482
STEINER DR,S,47TH AVE,24,2016-07-28T00:00:00.000Z,Th,2010,1789,,,3799,1483
COTTAGE WAY,W,WATT AVE,24,2016-07-28T00:00:00.000Z,Th,,,3903,3188,7091,1484
AUBURN BLVD,N,WINDING WAY,24,2016-08-23T00:00:00.000Z,T,,,,,18150,1485
BRANNAN ISLAND RD,S,STATE ROUTE 12,24,2016-07-12T00:00:00.000Z,T,469,460,,,929,1486
PERSHING AVE,E,HAZEL AVE,24,2016-04-21T00:00:00.000Z,Th,,,1409,1945,3354,1487
HOWE AVE,N,ALTA ARDEN EXPWY,24,2016-05-18T00:00:00.000Z,W,13834,11879,,,25713,1488
GLORI DAWN DR,S,CANARSIE AVE,24,2016-08-23T00:00:00.000Z,T,,,,,131,1489
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-12T00:00:00.000Z,T,22847,24804,,,47651,1490
MAIN AVE,N,MADISON AVE,24,2016-04-21T00:00:00.000Z,Th,4441,3872,,,8313,1491
HAZEL AVE,S,GREENBACK LN,24,2016-05-19T00:00:00.000Z,Th,18632,18916,,,37548,1492
RAMSEY DR,N,CORTRIGHT WAY,24,2016-08-23T00:00:00.000Z,T,,,,,536,1493
FRANKLIN BLVD,N,SIMS RD,24,2016-07-12T00:00:00.000Z,T,11531,11178,,,22709,1494
BUENA VISTA AVE,S,MADISON AVE,24,2016-04-21T00:00:00.000Z,Th,,,,,1707,1495
GREENBACK LN,W,FOLSOM BLVD,24,2016-05-19T00:00:00.000Z,Th,,,20006,19151,39157,1496
SHADY WOODS WAY,N,M ST,24,2016-08-23T00:00:00.000Z,T,,,,,361,1497
FLORIN PERKINS RD,N,FLORIN RD,24,2016-07-12T00:00:00.000Z,T,8662,9473,,,18135,1498
FAIR OAKS BLVD,S,MADISON AVE,24,2016-04-21T00:00:00.000Z,Th,7570,7526,,,15096,1499
BUENA VISTA AVE,S,MADISON AVE,24,2016-04-22T00:00:00.000Z,F,,,,,1572,1500
EDISON AVE,W,WATT AVE,24,2016-04-26T00:00:00.000Z,T,,,1712,1409,3121,1501
NORRIS AVE,N,SILVER CREST AVE,24,2016-04-26T00:00:00.000Z,T,1235,1030,,,2265,1502
FAIR OAKS BLVD,E,MARSHALL AVE,24,2016-04-26T00:00:00.000Z,M,,,15350,14795,30145,1503
EASTERN AVE,N,ENGLE RD,24,2016-04-26T00:00:00.000Z,T,4113,2445,,,6558,1504
ROBERTSON AVE,E,WATT AVE,24,2016-04-26T00:00:00.000Z,T,,,811,477,1288,1505
WATT AVE,N,FOLSOM BLVD,24,2016-04-26T00:00:00.000Z,T,36220,35968,,,72188,1506
WHITNEY AVE,W,EASTERN AVE,24,2016-04-26T00:00:00.000Z,T,,,4197,4066,8263,1507
NORRIS AVE,N,MARCONI AVE,24,2016-04-26T00:00:00.000Z,T,1417,1365,,,2782,1508
PASADENA AVE,E,NORRIS AVE,24,2016-04-26T00:00:00.000Z,T,,,812,890,1702,1509
PASADENA AVE,W,NORRIS AVE,24,2016-04-26T00:00:00.000Z,T,,,634,544,1178,1510
ENGLE RD,E,EASTERN AVE,24,2016-04-26T00:00:00.000Z,T,,,1988,1993,3981,1511
SAN JUAN AVE,S,WINDING WAY,24,2016-04-27T00:00:00.000Z,W,8821,12870,,,21691,1512
FAIR OAKS BLVD,W,CALIFORNIA AVE,24,2016-04-27T00:00:00.000Z,W,,,15117,14742,29859,1513
SAN JUAN AVE,N,FAIR OAKS BLVD,24,2016-04-27T00:00:00.000Z,W,7973,11993,,,19966,1514
HOLLISTER AVE,N,GRANT AVE,24,2016-04-27T00:00:00.000Z,W,868,702,,,1570,1515
WATT AVE,N,FOLSOM BLVD,24,2016-04-27T00:00:00.000Z,W,35460,35240,,,70700,1516
LINCOLN AVE,E,MANZANITA AVE,24,2016-04-27T00:00:00.000Z,W,,,2254,2432,4686,1517
BANNISTER RD,S,WINDING WAY,24,2016-04-27T00:00:00.000Z,W,387,512,,,899,1518
SUTTER AVE,W,HOLLISTER AVE,24,2016-04-27T00:00:00.000Z,W,,,476,348,824,1519
KIEFER BLVD,E,SOUTH WATT AVE,24,2016-05-03T00:00:00.000Z,T,,,10225,9679,19904,1520
QUEBEC WAY,E,YUKON CT,24,2016-05-10T00:00:00.000Z,T,,,,,219,1521
7TH ST,N,O ST,24,2016-05-10T00:00:00.000Z,T,,,,,626,1522
SUNRISE HILLS DR,S,WILDRIDGE DR,24,2016-05-10T00:00:00.000Z,T,,,,,475,1523
QUEBEC WAY,E,YUKON CT,24,2016-05-11T00:00:00.000Z,W,,,,,199,1524
HAZEL AVE,N,GREENBACK LN,24,2016-05-19T00:00:00.000Z,Th,18266,19007,,,37273,1525
MADISON AVE,W,GREENBACK LN,24,2016-05-19T00:00:00.000Z,Th,,,10520,10618,21138,1526
HAZEL AVE,S,ELM AVE,24,2016-05-19T00:00:00.000Z,Th,17366,18512,,,35878,1527
OAK AVE,W,HAZEL AVE,24,2016-05-19T00:00:00.000Z,Th,,,4653,4518,9171,1528
HAZEL AVE,N,MADISON AVE,24,2016-05-19T00:00:00.000Z,Th,19708,19668,,,39376,1529
HAZEL AVE,S,MADISON AVE,24,2016-05-19T00:00:00.000Z,Th,22415,24157,,,46572,1530
GREENBACK LN,E,KENNETH AVE,24,2016-05-19T00:00:00.000Z,Th,,,17100,14815,31915,1531
KENNETH AVE,N,GREENBACK LN,24,2016-05-19T00:00:00.000Z,Th,5120,5101,,,10221,1532
FILBERT AVE,N,CENTRAL AVE,24,2016-05-19T00:00:00.000Z,Th,905,1158,,,2063,1533
SUNSET AVE,E,FAIR OAKS BLVD,24,2016-05-24T00:00:00.000Z,T,,,4884,4733,9617,1534
ILLINOIS AVE,S,SUNSET AVE,24,2016-05-24T00:00:00.000Z,T,1366,1399,,,2765,1535
SUNSET AVE,E,HAZEL AVE,24,2016-05-24T00:00:00.000Z,T,,,3571,3804,7375,1536
KENNETH AVE,N,WINDING WAY,24,2016-05-24T00:00:00.000Z,T,738,955,,,1693,1537
SUNSET AVE,W,FAIR OAKS BLVD,24,2016-05-24T00:00:00.000Z,T,,,6260,6087,12347,1538
FAIR OAKS BLVD,N,WINDING WAY,24,2016-05-24T00:00:00.000Z,T,3685,4049,,,7734,1539
GOLD COUNTRY BLVD,W,HAZEL AVE,24,2016-05-24T00:00:00.000Z,T,,,4738,3413,8151,1540
EL CAMINO AVE,E,EASTERN AVE,24,2016-05-25T00:00:00.000Z,W,,,8365,8509,16874,1541
EASTERN AVE,N,MARCONI AVE,24,2016-05-25T00:00:00.000Z,W,7845,7194,,,15039,1542
VIA CASITAS,E,MANZANITA AVE,24,2016-08-23T00:00:00.000Z,T,,,,,827,1543
ROSEVILLE RD,S,LONGVIEW DR,24,2016-05-25T00:00:00.000Z,W,6317,7978,,,14295,1544
WILTON RD,E,GRANT LINE RD,24,2016-07-12T00:00:00.000Z,T,,,4723,4816,9539,1545
SHADY WOODS WAY,N,M ST,24,2016-08-24T00:00:00.000Z,W,,,,,362,1546
EL CAMINO AVE,E,WALNUT AVE,24,2016-05-25T00:00:00.000Z,W,,,5882,5856,11738,1547
DILLARD RD,E,STATE ROUTE 99,24,2016-07-12T00:00:00.000Z,T,,,2669,2519,5188,1548
AUBURN BLVD,N,WINDING WAY,24,2016-08-24T00:00:00.000Z,W,,,,,17812,1549
MARCONI AVE,E,EASTERN AVE,24,2016-05-25T00:00:00.000Z,W,,,11246,11891,23137,1550
GRANT LINE RD,W,BRADSHAW RD,24,2016-07-12T00:00:00.000Z,T,,,8099,8085,16184,1551
BAR DU LN,S,GERBER RD,24,2016-08-24T00:00:00.000Z,W,,,,,485,1552
JULIESSE AVE,E,HOWE AVE,24,2016-05-25T00:00:00.000Z,W,,,,,263,1553
LAMBERT RD,E,RIVER RD,24,2016-07-12T00:00:00.000Z,T,,,285,278,563,1554
RAMSEY DR,N,CORTRIGHT WAY,24,2016-08-24T00:00:00.000Z,W,,,,,500,1555
VIA CASITAS,E,MANZANITA AVE,24,2016-08-24T00:00:00.000Z,W,,,,,722,1556
GLORI DAWN DR,S,CANARSIE AVE,24,2016-08-24T00:00:00.000Z,W,,,,,149,1557
CHANDLER DR,N,FLORIN RD,24,2016-08-30T00:00:00.000Z,T,1239,1245,,,2484,1558
WATT AVE,N,EL CAMINO AVE,24,2016-08-30T00:00:00.000Z,T,24061,24537,,,48598,1559
WATT AVE,N,COTTAGE WAY,24,2016-08-30T00:00:00.000Z,T,25566,24238,,,49804,1560
WINDING WAY,E,PASADENA AVE,24,2016-08-31T00:00:00.000Z,W,,,,,11132,1561
HOWE AVE,N,FAIR OAKS BLVD,24,2016-09-13T00:00:00.000Z,T,26625,25366,,,51991,1562
WATT AVE,S,MARCONI AVE,24,2016-09-13T00:00:00.000Z,T,24118,24226,,,48344,1563
OLD PLACERVILLE RD,E,BRADSHAW RD,24,2016-09-13T00:00:00.000Z,T,,,7441,8541,15982,1564
WATT AVE,S,AUBURN BLVD,24,2016-09-13T00:00:00.000Z,T,26699,27213,,,53912,1565
GEORGIA DR,S,LOWRY DR,24,2016-09-13T00:00:00.000Z,T,,,,,1175,1566
PAYNE WAY,S,MCCLELLAN DR,24,2016-09-13T00:00:00.000Z,T,,,,,336,1567
MISSION AVE,N,COTTAGE WAY,24,2016-09-13T00:00:00.000Z,T,2101,1867,,,3968,1568
AIRPORT BLVD,N,I-5,24,2016-09-14T00:00:00.000Z,W,,20311,,,20311,1569
EASTERN AVE,N,EL CAMINO AVE,24,2016-05-25T00:00:00.000Z,W,9727,9573,,,19300,1570
WALNUT AVE,N,EL CAMINO AVE,24,2016-05-25T00:00:00.000Z,W,7820,8559,,,16379,1571
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-12T00:00:00.000Z,T,47306,52191,,,99497,1572
FAIR OAKS BLVD,E,WATT AVE,24,2016-05-26T00:00:00.000Z,Th,,,18742,21681,40423,1573
TWIN CITIES RD,E,RIVER RD,24,2016-07-12T00:00:00.000Z,T,,,2875,2981,5856,1574
FAIR OAKS BLVD,W,EASTERN AVE,24,2016-05-26T00:00:00.000Z,W,,,21227,21850,43077,1575
RIVER RD,N,WALNUT GROVE BRIDGE RD,24,2016-07-12T00:00:00.000Z,T,3425,3429,,,6854,1576
MANZANITA AVE,S,WINDING WAY,24,2016-06-01T00:00:00.000Z,W,14312,13756,,,28068,1577
FRANKLIN BLVD,N,TWIN CITIES RD,24,2016-07-12T00:00:00.000Z,T,949,926,,,1875,1578
WINDING WAY,E,MANZANITA AVE,24,2016-06-01T00:00:00.000Z,W,,,9377,10659,20036,1579
FRANKLIN BLVD,S,DESMOND RD,24,2016-07-12T00:00:00.000Z,T,359,383,,,742,1580
FAIR OAKS BLVD,N,MARCONI AVE,24,2016-06-01T00:00:00.000Z,W,18971,15130,,,34101,1581
GRANT LINE RD,W,BRADSHAW RD,24,2016-07-13T00:00:00.000Z,W,,,8397,8185,16582,1582
FAIR OAKS BLVD,S,GARFIELD AVE,24,2016-06-01T00:00:00.000Z,W,13585,12991,,,26576,1583
WATSON ST,N,EL CAMINO AVE,24,2016-07-13T00:00:00.000Z,W,,,,,362,1584
FAIR OAKS BLVD,N,EL CAMINO AVE,24,2016-06-01T00:00:00.000Z,W,14431,14238,,,28669,1585
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-13T00:00:00.000Z,W,22959,25365,,,48324,1586
WALNUT AVE,N,WHITNEY AVE,24,2016-06-01T00:00:00.000Z,W,10106,11703,,,21809,1587
AUBURN BLVD,E,WATT AVE,24,2016-07-13T00:00:00.000Z,W,,,9201,9911,19112,1588
WILTON RD,E,GRANT LINE RD,24,2016-07-13T00:00:00.000Z,W,,,4963,4949,9912,1589
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-13T00:00:00.000Z,W,47999,52693,,,100692,1590
RANGER WAY,N,RAMPART DR,24,2016-07-13T00:00:00.000Z,W,,,,,177,1591
ISLETON RD,N,ISLETON BRIDGE,24,2016-07-14T00:00:00.000Z,Th,1362,1052,,,2414,1592
WATT AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-14T00:00:00.000Z,Th,48477,52844,,,101321,1593
CENTER PKWY,S,FOREST PKWY,24,2016-07-14T00:00:00.000Z,Th,2828,2396,,,5224,1594
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2016-07-14T00:00:00.000Z,Th,22996,25523,,,48519,1595
FAIR OAKS BLVD,W,SUNRISE BLVD,24,2016-07-14T00:00:00.000Z,Th,,,19627,15262,34889,1596
EAST PKWY,S,FOREST PKWY,24,2016-07-14T00:00:00.000Z,Th,932,1196,,,2128,1597
A PKWY,E,FRANKLIN BLVD,24,2016-07-14T00:00:00.000Z,Th,,,1992,1627,3619,1598
FRANKLIN BLVD,S,EAST PKWY,24,2016-07-14T00:00:00.000Z,Th,13459,12275,,,25734,1599
6TH PKWY,N,FLORIN RD,24,2016-07-14T00:00:00.000Z,Th,2972,4123,,,7095,1600
DREDGER WAY,E,MAIN AVE,24,2016-09-14T00:00:00.000Z,W,,,,,822,1601
HOWE AVE,N,FAIR OAKS BLVD,24,2016-09-14T00:00:00.000Z,W,26901,25146,,,52047,1602
GEORGIA DR,S,LOWRY DR,24,2016-09-14T00:00:00.000Z,W,,,,,1157,1603
PAYNE WAY,S,MCCLELLAN DR,24,2016-09-14T00:00:00.000Z,W,,,,,291,1604
OLD PLACERVILLE RD,E,BRADSHAW RD,24,2016-09-14T00:00:00.000Z,W,,,7574,8834,16408,1605
WATT AVE,S,MARCONI AVE,24,2016-09-14T00:00:00.000Z,W,24164,24334,,,48498,1606
MISSION AVE,N,COTTAGE WAY,24,2016-09-14T00:00:00.000Z,W,2091,1900,,,3991,1607
WATT AVE,N,ROSEVILLE RD,24,2016-09-14T00:00:00.000Z,W,21227,22026,,,43253,1608
WATT AVE,S,AUBURN BLVD,24,2016-09-14T00:00:00.000Z,W,27348,27546,,,54894,1609
HAZEL AVE,N,AMERICAN RIVER BRIDGE,24,2017-06-17T00:00:00.000Z,SA,19295,19620,,,38915,1610
SUNRISE BLVD,N,SUNSET AVE,24,2016-10-25T00:00:00.000Z,T,24733,22766,,,47499,1611
DON JULIO BLVD,N,ELKHORN BLVD,24,2017-03-08T00:00:00.000Z,W,11955,11867,,,23822,1612
LONG CANYON DR,E,WINDING OAK DR N-EXT,24,2016-09-20T00:00:00.000Z,T,,,,,1063,1613
LONG CANYON DR,E,WINDING OAK DR S-EXT,24,2016-09-20T00:00:00.000Z,T,,,,,289,1614
CATHAY WAY,S,EL CAMINO AVE,24,2016-09-20T00:00:00.000Z,T,,,,,203,1615
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-22T00:00:00.000Z,Th,39626,46028,,,85654,1616
ELVERTA RD,E,STATE ROUTE 99,24,2016-09-22T00:00:00.000Z,Th,,,4095,3177,7272,1617
EL MODENA AVE,N,ELVERTA RD,24,2016-09-22T00:00:00.000Z,Th,301,315,,,616,1618
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-23T00:00:00.000Z,F,41691,44858,,,86549,1619
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-24T00:00:00.000Z,SA,34519,34842,,,69361,1620
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-25T00:00:00.000Z,SU,27952,28003,,,55955,1621
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-26T00:00:00.000Z,M,39177,40581,,,79758,1622
WINDING WAY,E,PASADENA AVE,24,2016-09-27T00:00:00.000Z,T,,,5513,5314,10827,1623
SOUTH WATT AVE,S,FOLSOM BLVD,24,2016-09-27T00:00:00.000Z,T,24173,25548,,,49721,1624
CALVINE RD,E,POWER INN RD,24,2016-09-27T00:00:00.000Z,T,,,21109,22584,43693,1625
POWER INN RD,N,CALVINE RD,24,2016-09-27T00:00:00.000Z,T,15837,17316,,,33153,1626
FRUITRIDGE RD,W,MARTIN LUTHER KING BLVD,24,2016-09-27T00:00:00.000Z,T,,,15791,17023,32814,1627
ELK GROVE FLORIN RD,N,CALVINE RD,24,2016-09-27T00:00:00.000Z,T,17848,18713,,,36561,1628
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-27T00:00:00.000Z,T,39788,41957,,,81745,1629
CALVINE RD,E,AUBERRY DR,24,2016-09-27T00:00:00.000Z,T,,,20910,21152,42062,1630
SUNRISE BLVD,S,AMERICAN RIVER BRIDGE,24,2016-09-28T00:00:00.000Z,W,37812,42711,,,80523,1631
WATT AVE,N,A ST,24,2016-10-04T00:00:00.000Z,T,19673,20632,,,40305,1632
WATT AVE,S,ORANGE GROVE AVE,24,2016-10-04T00:00:00.000Z,T,25198,26328,,,51526,1633
HOWE AVE,N,ARDEN WAY,24,2016-10-04T00:00:00.000Z,T,15318,16005,,,31323,1634
HOWE AVE,N,HURLEY WAY,24,2016-10-04T00:00:00.000Z,T,20236,17287,,,37523,1635
ELVERTA RD,E,WATT AVE,24,2016-10-04T00:00:00.000Z,T,,,7959,8569,16528,1636
HOWE AVE,S,ARDEN WAY,24,2016-10-04T00:00:00.000Z,T,20281,17952,,,38233,1637
ARDEN WAY,W,HOWE AVE,24,2016-10-04T00:00:00.000Z,T,,,17469,20853,38322,1638
ELVERTA RD,E,WATT AVE,24,2016-10-05T00:00:00.000Z,W,,,8107,8461,16568,1639
KIEFER BLVD,W,SOUTH WATT AVE,24,2016-10-05T00:00:00.000Z,W,,,3498,3342,6840,1640
HOWE AVE,S,ARDEN WAY,24,2016-10-05T00:00:00.000Z,W,20642,18829,,,39471,1641
HOWE AVE,N,HURLEY WAY,24,2016-10-05T00:00:00.000Z,W,20691,18069,,,38760,1642
ARDEN WAY,W,HOWE AVE,24,2016-10-05T00:00:00.000Z,W,,,18564,21320,39884,1643
WATT AVE,N,A ST,24,2016-10-05T00:00:00.000Z,W,19472,20273,,,39745,1644
HOWE AVE,N,ARDEN WAY,24,2016-10-05T00:00:00.000Z,W,15567,15987,,,31554,1645
WATT AVE,S,ORANGE GROVE AVE,24,2016-10-05T00:00:00.000Z,W,25399,26448,,,51847,1646
ELKHORN BLVD,E,DON JULIO BLVD,24,2016-10-18T00:00:00.000Z,T,,,26830,27730,54560,1647
